nomacheteur,records
MAIRIE DE CHATEAULIN,1
ESID Rennes,1
Ville de Thouars,1
ADOMA,1
Ministère de l'Europe et des Affaires étrangères (MEAE),1
Communauté d'Agglomération de Poitiers (86),1
Mairie de Goven,1
Commune d'EU,1
Communauté de communes du Pays Loudunais,1
Union Nationale des associations familiales,1
Département des Côtes d'armor,1
"Mairie de Gisors
Quai du fossé aux Tanneurs
27140 GISORS",1
Commune de Vernouillet,1
AGRICAN - ASSOCIATION DE GESTION DU RESTAURANT INTER ADMINISTRATIF DE LA CITE ADMINISTRATIVE DE NANTES,1
COMITE REGIONAL DE LA CONCHYLICULTURE DE BRETAGNE SUD,1
"SETOM
VC6 Lieudit Saint LAurent
BP 110 
27091 Evreux cedex",1
Commune de Fleury-sur-Orne,1
CONSEIL DÉPARTEMENTAL DE L'ORNE,1
SIAMS,1
Syndicat du bassin versant de l'Yères,1
Grand Port Fluvio Maritime du Havre,1
"COMMUNE DE VAL-DE-REUIL
70 rue Grande
BP 604
27106 VAL-DE-REUIL
SIRET : 21270701200010",1
Mission de maîtrise d'oeuvre pour la construction d'un bâtiment d'exploitation et l'aménagement de la voirie de la déchetterie de Lanmeur,1
Délégation Régionale 16 Paris-Normandie,1
Service Scolaire,1
Ville de Montargis,1
Ville de Quimper - services batiment,1
Cnfpt - Délégation Centre Val de Loire,1
SPL Chartres Metropole Evenements (28),1
CHAMBRE DE COMMERCE ET D'INDUSTRIE CHARENTE-MARITIME,1
Centre de gestion de la fonction publique territoriale de la Charente Maritime,1
GHT49 pour LE CENTRE DE SANTE MENTALE ANGEVIN,1
GHT de Bretagne Occidentale - CH des Pays de Morlaix,1
SCI Sweet Home,1
Territoire de la Commune d'Aumale,1
Ville de Quimper - services culture,1
OP 1049,1
Parc naturel régional et Géoparc mondial UNESCO Normandie-Maine,1
Vlle de Bayeux,1
Mairie et CCAS de Couëron,1
VILLE DE DINAN,1
Établissement public de santé GHT,1
CHGR/CHU,1
Commune de Magné (79),1
Mairie de Salouël (80480),1
Commune de Routot,1
EPCC CHEMINS DU PATRIMOINE EN FINISTERE,1
Mairie de Grand Champ,1
Ile-de-France Mobilités,1
SIRTOM de la région Flers Condé,1
Commandement des écoles de la gendarmerie nationale à Rochefort (17),1
SYNDICAT INTERCOMMUNAL D'ALIMENTATION EN EAU POTABLE,1
"Voies Navigables de France 
Direction Territoriale Nord-Est",1
Commune d'HERMANVILLE-SUR-MER,1
Services Interhospitaliers du Trégor-Goëlo,1
Communauté de Communes du Kreiz Breizh,1
"ALTER PUBLIC agissant au nom et pour le compte de la
 Commune Loire Authion",1
Commune d'Yffiniac,1
CENTRE HOSPITALIER DU MANS - ETS SUPPORT GHT 72,1
Maître d'Ouvrage = commune de GAUCIEL,1
"CHU de Brest - Site de Carhaix, Morvan, Guilers et Bohars",1
Ministère des armées,1
"Tribunal Judiciaire de Rennes
Cité judiciaire
7 rue Pierre Abélard
35000 Rennes",1
Mission politique de la ville et renouvellement urbain,1
Mairie de Cardonnette - 80260,1
ADMINISTRATION PUBLIQUE,1
Pole transition énergétique,1
INRAE PAYS DE LA LOIRE SITE ANGERS,1
Etablissement du service d'infrastructure de la défense de Rennes - ESID...,1
Drac des Pays de la Loire / UDAP44,1
Mairie de Pierrefitte-sur-Seine,1
CIAS du Thouarsais,1
Syndicat du Bassin Versant des 4 rivières,1
GPFMAS/DT ROUEN/Entité adjudicatrice,1
CC Pont-Audemer Val de Risle,1
VILLE DE BAYEUX - TRAVAUX - MUSEE,1
VILLE DE BAYEUX - CENTRE TECHNIQUE MUNICIPAL,1
"Nom de l'organisme : Mairie de l'Île de Sein
SIRET : 21290083100018
Point de contact : Monsieur le Maire
Adresse : 5 rue Saint Guénolé
Code postal : 29990 Ville : Île de Sein",1
VILLE DE LANESTER,1
"Maintenance des armoires à solvants, du désenfumage naturel, de l'éclairage de sécurité, des extincteurs, des hydrants et la maintenance des SSI et DAS",1
CCAS DE LORIENT,1
CENTR HOSPITALIER DU MANS - Ets support du GHT 72,1
Étude de programmation dans le cadre du projet de réaménagement du Vélodrome Métropolitain Marcel de Provoté de Couëron,1
Commune de Chantonnay,1
Lycée Chateaubriand,1
Commune de Noyant Villages,1
BMa SPL,1
"CARSAT Normandie
5 avenue du Grand Cours
76100 ROUEN",1
CIMPA,1
CIMAP,1
Région académique Bretagne - Service Régional Académique des Achats (SR2A),1
Commune d'Aubigny sur Nère,1
Commune de Saint Pierre des Fleurs,1
Commune de Rives en Seine,1
Établissement de santé,1
COMMUNE DES HERBIERS,1
SGCD.,1
Service juridique et marchés,1
"SDAR - INRAE Bretagne-Normandie
Domaine de la Motte - BP 35327
35653 LE RHEU Cedex",1
"Ministère de la Culture
DRAC Bretagne",1
Commune de Plomodiern,1
MEZIDON VALLEE D'AUGE,1
Conseil départemental d'Indre et Loire,1
SGCD22,1
Groupement de commandes pour les marchés de vérifications et de contôles obligatoires pour les EPLE de la Sarthe,1
GENES - ENSAI,1
SERVICE ENVIRONNEMENT,1
Commune de Martot,1
Mairie de Couëron,1
"Ville de Saint Jacques de la Lande
1 rue François Mitterrand
35136 Saint-Jacques de la Lande",1
Clef-Vallée-d'Eure,1
Commune de Saint-Saens,1
SIVOS DE BEZANCOURT,1
CCAS de La Roche-sur-Yon (85),1
DEPARTEMENT DE L'ORNE,1
Service portuaire de la Communauté de communes du Pays d'Iroise,1
Marché de services,1
Commune du Val-d'Hazey,1
Établissement public dans le secteur des énergies.,1
Traitement déchets,1
Commune de Selles,1
MAIRIE DE MAROMME. SIREN : 217604107,1
"Etat
MINARM/SGA/DCSID/ESID de Brest (Ministère des Armées / Secrétariat Général pour l'Administration / Direction Centrale du Service d'Infrastructure de la Défense / Établissement du Service d'Infrastructure de la Défense de Brest)",1
"Mairie île de Sein
5 rue st Guénolé
29990 île de Sein
contact@mairie-iledesein.bzh",1
Ville de Fleury-sur-Orne,1
"UIOSS ANGERS
32 RUE LOUIS GAIN
49937 ANGERS CEDEX 9",1
Ccas de Laigné en Belin,1
Syndicat des Eaux du Bas-Léon,1
Etablissement public de l'état,1
SA d'HLM LE FOYER D'ARMOR,1
Communauté d'aggomération Seine-Eure,1
Epic Normand de Transports Publics,1
Service prévention et gestion des déchets ménagers et assimilés,1
CENTRE HOSPITALIER INTERCOMMUNAL ELBEUF LOUVIERS VAL DE REUIL,1
REGIE REGIONALE DES TRANSPORTS,1
GHT CAEN Normandie,1
Crous Rennes Bretagne,1
Grand port fluvio-maritime de l'axe Seine - DT de Rouen,1
Ville de Nantes / Nantes metropole,1
Équipement culturel,1
Mairie de Savonnières,1
SAIEM AGIRE - Bailleur social,1
Direction Régionale de l'Aménagement et du Logement de Normandie,1
Chu de Rennes,1
Caisse d'Assurance Maladie du Val d'Oise,1
Mairie de la Lande Saint Léger,1
EPSM SUD FINISTERE,1
Remplacement du réseau de chauffage,1
Division de la Commande Publique,1
"Département des Côtes d'Armor 
Direction du Développement Social 
Service Habitat Logement",1
Le patrouilleur des Affaires Maritimes « Jeanne Barret » doit subir des travaux dans le cadre de l'entretien annuel.,1
ENVIRONNEMENT,1
Centre hospitalier mémorial France Etats Unis,1
SYNDICAT MIXTE DU POINT FORT,1
"Département des Côtes d'Armor
Direction Enfance Famille
Service de Placement Famillial",1
Syndicat Mixte d'Eau et d'Assainissement du Caux Central,1
"France Travail Bretagne - Service achats, marchés et approvisionnements",1
La Caisse D'Allocations Familiales 27,1
CCI DES COTES D'ARMOR,1
"Groupement TRANSAMO/La SET, agissant au nom et pour le  Syndicat des Mobilités de Touraine (SMT), maître d'ouvrage",1
institut de radioprotection et de sureté nucléaire - IRSN,1
CENTRE HOSPITALIER DE CHOLET ETABLISSEMENT PARTIE AU GHT 49,1
Ville de Mordelles,1
VILLE DE PAIMPOL,1
GPFMAS - Pouvoir adjudicateur,1
Commune de magny-en-vexin,1
Ministère de la Justice - Casier judiciaire national,1
CHD VENDEE Etablissement support du GHT Vendée,1
"BCRM de Brest - ESID de Brest
SAI /BAM /Section Soutien des Achats
CC16
29240 - Brest Cedex 9",1
Commune de BRUYERES SUR OISE,1
Mairie de Méharicourt (80170),1
DEPARTEMENT DES CÖTES D'ARMOR,1
"Saint-Brieuc Armor Agglomération, pour le compte de l'Entente Destination Baie de Saint-
Brieuc - Paimpol - Les Caps",1
Commune de Rosny-sur-Seine,1
Commune de Château-Gontier sur Mayenne,1
Sirtom de la région Flers-Condé,1
Direction Générale de la Cohésion Sociale (DGCS),1
Centre hospitalier du CH de FLERS (61100),1
DGAC/DO,1
Collectivité,1
Travaux réseaux eau,1
"Fonds Régional d'art contemporain Bretagne 
Les Fonds régionaux d'art contemporain (Frac) créés au début des années 1980 sur la base d'un partenariat État-Régions sont des institutions qui ont pour mission de réunir des collections publiques d'art contemporain, de les diffuser auprès de nouveaux publics et d'inventer des formes de sensibilisation à la création actuelle.",1
Préfecture de la région Pays de la Loire,1
Vendée Expansion - GIE,1
G.H.T. « LES COLLINES DE NORMANDIE »,1
Mairie de locronan,1
Siret : 21760410700011,1
SERVICE PUBLIQUE DE L'EAU AN DOUR,1
Etablissement Public de Santé : GROUPE HOSPITALIER RANCE EMERAUDE,1
OCCUPATION TEMPORAIRE PRIVATIVE DU DOMAINE PUBLIC,1
COMMUNE DE QUIMPER,1
Autoroutes du Sud de la France,1
COFIROUTE,1
SPL GTM Nautisme / 8 Milles Nautic (OZG - 50),1
Petite enfance,1
Saint Malo Agglomération,1
Commune de Saint-Avé 56890,1
Mairie Petit Couronne,1
Mairie de Gourhel,1
"Région Bretagne
283 avenue du général Patton Smith
35711 Rennes",1
ESID RENNES - Ministère des Armées,1
CRISMAT.,1
"Mairie de Plomelin 
Plasenn Betziesdorf
29700 PLOMELIN
02 98 94 25 57
mairie@plomelin.bzh",1
Université de CAEN NORMANDIE,1
Commune St-Avé 56890,1
Service Départemental d'Incendie et de Secours de la Vendée,1
CC ENTRE BEAUCE ET PERCHE,1
"La CCI de région HAUTS-DE-FRANCE, en tant que concessionnaire du Port du Tréport, agit en qualité d'entité adjudicatrice dans le cadre du présent marché.",1
"CHU de Caen, CH
Aunay-Bayeux, CH Argentan, CH Falaise, CH Lisieux",1
"SERPN
SIRET 200 080 778 00018",1
EPSM de Caen - 15Ter rue Saint-Ouen - 14053 CAEN cedex 4,1
Service public porturaire,1
"Maître d'ouvrage :
Mairie d'INDRE - Adresse : Avenue de la Loire - 44610 INDRE
Mandataire agissant au nom et pour le compte du Maître d'ouvrage :
NANTES METROPOLE AMENAGEMENT
Adresse :2, avenue Carnot - BP 50906 44009 NANTES Cedex 1",1
Commune de Challans - Coordonnateur du Groupement de Commandes,1
sans objet,1
SGAR des Pays de la Loire,1
"VNF
DTBS
18 QUAI D'AUSTERLITZ
75013 PARIS",1
"CPAM de Loire Atlantique:
siret: 51516374900010",1
SPL BRETAGNE PLAISANCE,1
VILLE DE SAUMUR,1
Direction Départementale des Territoires et de la Mer du Calvados,1
Direction départementale des Finances publiques de la Manche (50),1
Communauté Communes de Parthenay-Gâtine,1
École européenne supérieure d'art de Bretagne,1
Service transition écologique et énergies,1
Commune de CESSON SEVIGNE,1
Direction de la sécurité de l'aviation civile -Ouest,1
COMMUNE DE VAL D'OUST,1
Commune de Frenelles en Vexin,1
COMMUNE DE CHAURAY,1
Centre Communal d'action Sociale,1
Port de plaisance du havre,1
"UC-IRSA - Union de caisses-Institut inter-Régional pour la Santé
Madame Anne Charbonnier
45 rue de la Parmentière
B.P 122
37521 LA RICHE",1
Centre Hospitalier Simone Veil de Vitré,1
Commune de Romilly la Puthenaye,1
Mairie Bouchamps-lès-Craon,1
Mairie de saint-herblain,1
"Communauté de Communes du Pays du Neubourg
Service petite enfance
1 chemin Saint Celerin
BP 47
27110 LE NEUBOURG
Tél: 02 32 34 04 41",1
FOUGERES AGGLOMERATION,1
Direction Sports et Jeunesse,1
MAIRIE DE PLOUHA,1
Service Départemetnal d'Incendie et de Secours du Finistère - SDIS 29,1
SPL Développement touristique du Cotentin,1
Shom_,1
SERVICE EAU POTABLE,1
SERVICE ASSAINISSEMENT COLLECTIF,1
Commune de Fressenneville,1
Grand Port Maritime de Nantes Saint Nazaire,1
PORT EN BESSIN-HUPPAIN (14520),1
"Ville de Duclair (76480)
FRD22",1
GROUPEMENT DE COMMANDES VILLE ET CCAS DE BRUZ,1
CAUX SEINE Agglo,1
Pays de Blain Communauté - 44130 -,1
Mairie de Romilly-Sur-Andelle,1
CCAS HEROUVILLE SAINT CLAIR,1
Brest METROPOLE,1
Syndicat Mite du Point Fort,1
Enseignement supérieur et de recherche,1
Commune de Quiers Sur Bezonde,1
Mairie de Pont-Audemer.,1
Commune de DANGU,1
GH RANCE EMERAUDE - CH SAINT MALO,1
Ville d'IFS - CCAS d'IFS,1
May-sur-Evre,1
CHIELV,1
Conservatoire national des Arts et Métiers (Cnam) - ESGT,1
SIAEPA du PLATEAU d'Aliermont,1
SMAEPA de la région Doudeville,1
Direction eau et assainissement Angers Loire Metropole (49),1
Camping Municipal de Banyuls Sur Mer,1
INSTITUT FRAN9AIS DU CHEVAL ET DE L'EQUITATION,1
"Cancéropôle Nord-Ouest 
Maison Régionale de la Recherche Clinique 
6 rue du Professeur Laguesse - BP 40118 
59016 LILLE Cedex - France",1
"THEATRE DE LORIENT, Centre dramatique national",1
"Armement des phares et balises
2, rue de Kérivoal - CS 93039 - 29334 QUIMPER CEDEX
tél. 0290085524 - fax. 0298987225
mél. apb.dam.dgitm@developpement-durable.gouv.fr
SIRET : 130 003 213 00027",1
"Entité publique:
MTES-MCTRCT-MER - Ministère de la Transition Écologique, Ministère de la
Cohésion des Territoires, Ministère de la Mer
Entités d'Achat:
MTES-MCTRCT-MER / AC / DGAMPA / APB - Armement des phares et balises",1
Direction ST - Grands Projets & Patrimoine Bâti,1
"État - Ministère du Partenariat avec les territoires et de la Décentralisation - Ministère chargé
des Transports - Direction Interdépartementale des Routes Ouest",1
Mairie de Montargis,1
Groupement de Coopération Sanitaire e-Santé Bretagne,1
Mission d'assistance à maîtrise d'ouvrage sur le volet environnemental - Moulin Boisseau,1
E.P.C.I,1
DDTM de l'Eure,1
CIAS du Val d'Ille-Aubigné,1
Commune d'hécourt,1
Société publique régionale des Pays de la Loire (Solutions&co),1
Syndicat Mixte de l'Horn,1
"BAIE D'ARMOR AMENAGEMENT
(POUR LE COMPTE DE SAINT-BRIEUC ARMOR AGGLOMERATION)",1
voir rc,1
Direction territoriale Bassin de la Seine et Loire aval,1
COMMUNE DE SAINT MARTIN DU TERTRE 95,1
"Etablissement Public de Santé
GROUPE HOSPITALIER RANCE EMERAUDE",1
Commune de Hédé,1
Service Hydrographique et Océanographique de la Marine,1
Direction Régionale des affaires culturelles de Bretagne,1
Keredes,1
"Sirtom de la région Flers-Condé
SIRET 256 102 138 00037
APE 38.11Z",1
COMMUNE DE VEXIN SUR EPTE,1
EPSM de Caen,1
EHPAD DE LA GACILLY,1
Eau du Pays de Saint Malo,1
DIRECTION DU SERVICE NATIONAL ET DE LA JEUNESSE,1
SEMINOR - 16 PLACE DU GENERAL LECLERC - 76400 FECAMP,1
"SAS AVENSIA 
agissant au nom et pour le compte de l'ESID de Rennes",1
Voies navigables de France - Unité Territoriale Boucles de la Seine,1
SEMBREIZH AGISSANT AU NOM ET POUR LE COMPTEDE LA RÉGION BRETAGNE,1
Mairie de Camaret-sur-Mer,1
Commune de Saint-Nolff,1
caisse primaire d'assurance maladie,1
Communauté de Communes de Parthenay-Gâtine,1
Mairie de La Trinité,1
"Mairie des Sorinières
49 rue Georges Clemenceau
44840 Les Sorinères
Siret : 214 401 986 00010",1
21720210000012,1
CC des Villes Soeurs,1
COMMUNE DE SAINT PIERRE EN AUGE,1
Gestion et exploitation du port de Brest,1
Education Nationale,1
"Ministère de l'Économie, des finances et de l'industrie",1
"Ville de Clisson
3 GRANDE RUE DE LA TRINITE 
44190 CLISSON",1
Direction Interrégionale de la Protection Judiciaire de la Jeunesse - Grand-Ouest,1
Groupement d'intérêt public Vendée Numérique,1
SEMBREIZH au nom et pour le compte du Conseil Régional de Bretagne,1
"DNGCD, Service opérationnel à compétence nationale.",1
DDTM 29,1
Ville de Bernières-sur-Mer,1
"Ville de Paris 
DDCT service Achats/Marchés",1
Caisse primaire d'assurance maladie de Loire-Atlantique (CPAM),1
SIAEP de Grazay-Jublains-Marcillé (53),1
HIA CLERMONT-TONNERRE,1
REGION DE GENDARMERIE DE NORMANDIE 76000 ROUEN,1
Syndicat mixte du port de Lorient-Kéroman,1
Chambre de Commerce et d'Industrie Finistère,1
Communauté de communes Val d'ille-Aubigné,1
"Collège Beaumanoir
Groupement de commandes",1
L'ESTRAN,1
Communauté de communes Val d'Ille - Aubigné,1
Commune de sarzeau,1
Syndicat mixte de Lorient Kéroman,1
Crous bretagne,1
Commune D'OSNY,1
CH de Vitré,1
"ESIGELEC
Etablissement d'enseignement supérieur et de recherche",1
ville de Rostrenen,1
Cisn coopérative,1
Agence Nationale Cohésion Territoires,1
commande publique/achats,1
Commune de Charchigne (53),1
Mairie de Meucon,1
Spl La Baule-Presqu'Ile De Guerande Tourisme,1
"Service d'Infrastructure de la Défense / Établissement du Service d'Infrastructure de la Défense de Brest (ESID) _ 
SAI/ BAM/ Section Soutien Achats _ CC16 _ 29240 Brest cédex 9",1
Commune de Montreuil le Henri,1
Direction interdépartementale des routes nord ouest,1
DIRECTION DÉPARTEMENTALE DES FINANCES PUBLIQUES D'INDRE ET LOIRE,1
Caisse Primaire d'Assurance Maladie (CPAM) de Loire-Atlantique,1
La Rance - ST MALO,1
Centre hospitalier,1
"G.H.T. LES COLLINES DE NORMANDIE
CENTRE HOSPITALIER J. MONOD
(Etablissement support)",1
"Travaux de curage, désamiantage, déplombage et déconstruction de bâtiments",1
COS C?FPT,1
MAIRE DE CARROUGES,1
EHPAD Les Ajoncs d'or,1
DDETSPP 79,1
Mairie de Maromme - Culture et patrimoine,1
N° SIRET : 28490001600023,1
"SAIEM AGIRE, bailleur social",1
Réfection du parking et du réseau eau pluviale du groupe Champs de Mars 2 à Rouen,1
ORGANISME DE SECURITE SOCIALE,1
Direction interrégionale de la Mer - Nord Atlantique Manche Ouest (DIRM NAMO),1
REALISATION D'UN DIAGNOSTIC TERRITORIAL STARTEGIQUE / CARTOGRAPHIE : ACTIONS DE LUTTE CONTRE LES DISCRIMINATIONS SUR LE MARCHE DU TRAVAIL DANS L'AGGLOMERATION NANTAISE,1
Coordonnateur du groupement de commandes : CCA pour la présente consultation «Agence de Presse».,1
BRIGADE VERTE D'ALSACE,1
SAS AEROPORTS DE BRTAGNE OUEST,1
GROUPEMENT DE COMMANDES COMMUNE ET CCAS DE SAINT PIERRE EN AUGE,1
COMMUNE DE LE FOLGOET,1
SIEML (Syndicat Intercommunal d'énergies de Maine-et-Loire).,1
Institution régionale Bretagne,1
"Broyage 
déchets végétaux
démonstration",1
Nantes université,1
Commune de Bourneville-Sainte-Croix,1
SMAEPA DE GRIGNEUSEVILLE & BELLENCOMBRE,1
BT-500-Commune de CORAY,1
Syndicat de Eau du Morbihan,1
Marchés de travaux,1
CRT NORMANDIE,1
"Commune de Bagneux
57 avenue Henri Ravera
92220 Bagneux",1
Commune de Montcornet,1
686SPL,1
"Syndicat Mixte d'Alimentation en Eau Potable et d'Assainissement de la région de SIERVILLE
20 route de Renfeugères 76690 SIERVILLE",1
Service Juridique,1
"MAIRIE DE CLISSON 
3 GRANDE RUE DE LA TRINITE 
44190 CLISSON",1
RECTORAT DE RENNES,1
COMMUNE DE MESNILS-SUR-ITON,1
"Syndicat Intercommunal HANDI VAL DE SEINE
1, place de la Galette
78920 VERNEUIL SUR SEINE",1
SGCd79 pour la DDETSPP,1
VIVEA,1
ETP de Saint-James,1
Commune de Treillières,1
La Rance,1
Syndicat Intercommunal d'Énergies-de-Maine-et-Loire (Siéml),1
"Sirtom de la région Flers-Condé
SIRET : 256 102 138 00037
APE 38.11Z Collecte des déchets non-dangereux",1
Direction des douanes de Normandie,1
Centre Hospitalier de Saint Lo,1
Cc Intercom Bernay Terres De Normandie,1
CCAS DU HOULME,1
"SA HLM BSB LES FOYERS.
Organisation qui passe un marché public subventionné par une autorité publique centrale.",1
"Mairie de Saint Jouan des Guérets
Services techniques
4 place de l'église 
35430 SAINT JOUAN DES GUERETS",1
"GRAND PORT FLUVIO-MARITIME DE
L'AXE SEINE - DIRECTION TERRITORIALE DU HAVRE",1
Brest Métropole aménagement SPL agissant au nom et pour le compte de Brest'Aim SPL,1
FRANCE TRAVAIL - HAUTS-DE-FRANCE,1
Agence Publique pour l'immobilier de la justice,1
INNOVATION PLASTURGIE COMPOSITES,1
Mairie de Josselin,1
Commune d'Hennebont,1
Préfecture de la Loire-atlantique,1
Groupement Hospitalier du Territoire de l'Estuaire et de la Seine.,1
SERVICE DEVELOPPEMENT,1
cte reg peches maritimes elevages mari,1
Direction Générale des Services,1
"CCAS DE CLISSON 
3 GRANDE RUE DE LA TRINITE 
44190 CLISSON",1
Mairei Amfreville Saint Amand,1
MAIRIE DE CANCALE,1
Etat - MTECT - DREAL Bretagne,1
Etat -MTECT - DREAL Bretagne,1
Ville de RUE - SPIC EAU et SPIC ASSAINISSEMENT,1
Commune de Saint Ouen en Belin,1
ÉTABLISSEMENT PUBLIC FONCIER DE LOIRE-ATLANTIQUE,1
DGAC/SNIA,1
Service public de l'éducation,1
"Centre des monuments nationaux, établissement public national sous tutelle du ministère de la Culture",1
COMMUNE DE TOURVILLE LA CAMPAGNE,1
Pontivy Communauté et le CIAS de Pontivy Communauté,1
"SAIEM AGIRE, Bailleur social",1
CCIPN,1
CCSE - petite enfance,1
"Marché pour prestation de service
Centre Hospitalier de Poissy/Saint Germain en Laye",1
Professionnalisation des ateliers de français et l'accompagnement des acteurs locaux sur les enjeux linguistiques,1
L4H société coopérative de coordination à capital variable,1
Brest Métropole aménagement SPL agissant au nom et pour le compte de la ville de Brest,1
"EPMS LE LITTORAL
55 AVENUE DE BODON 
44250 ST BREVIN LES PINS",1
"Mairie de Cadaujac
3 place de l'église 
33140 Cadaujac",1
"L'Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement (INESAAE), dit l'Institut Agro.",1
EnR44 : 840 290 183 00010,1
Communauté de Communes du Sud Estuaire,1
Marché n° 2024-04,1
Communaute de communes Val d'Ille-Aubigne,1
AGRICAMPUS LAVAL,1
Études habitat public,1
"CCI de région HAUTS-DE-FRANCE située :
299 BOULEVARD DE LEEDS
CS 90028
59031 LILLE CEDEX",1
13000810500178,1
Université de Bretagne occidentale,1
683650345,1
GROUPEMENT DE COMMANDE TERRE&TOIT / SPL CONSTRUCTION PUBLIQUE D'ILLE-ET-VILAINE,1
État - Ministère du Partenariat avec les territoires et de la Décentralisation - Ministère chargé des Transports - Direction Interdépartementale des Routes Ouest,1
PREFECTURE AQUITAINE-SGAR-PFRA NA,1
SERVICE JURIDIQUE,1
Commune d'Yvignac-La-Tour,1
Cénovia Cités,1
"Brest Métropole aménagement SPL, agissant au nom et pour le compte de BREST'AIM SPL.",1
"MINARM/SGA/SID/ESID de Brest (Ministère des Armées / Secrétariat
Général pour l'Administration / Service d'Infrastructure de la Défense / Établissement du Service
d'Infrastructure de la Défense de Brest)",1
ECOLE NORMALE SUPERIEURE DE RENNES - Service des Affaires Financières,1
COMMUNE DES ANDELYS,1
Pôle Métropolitain Nantes Saint-Nazaire,1
CNAPS,1
MAIRIE VIEUX-MANOIR,1
Aéroport Brest Bretagne,1
"Semitan, mandataire de la Loma",1
Syndicat Eau du Morbihan,1
CC VAL D'ILLE-AUBIGNE,1
service prévention et gestion des déchets ménagers et assimilés,1
VILLE D'ARZON,1
Reha légère 351 : Val de reuil,1
Solution PCR automatisée et rapide,1
"INRAE - Centre de recherche Bretagne-Normandie 
Domaine de la Motte - BP 35327
35653 LE RHEU cedex",1
Notre CCAS,1
Direction départementale des Finances publiques d'Indre-et-Loire,1
"Syndicat Mixte "" Ports de Normandie "" 
3 rue René Cassin
14280 SAINT CONTEST",1
La Commune d'Aunay-sous-Auneau,1
Société publique régionale des Pays de la Loire (Solutions&Co),1
"Conseil départemental du Finistère
CS29029
32 Boulevard Dupleix
29196 Quimper Cedex",1
AEFE (agence pour l'enseignement français à l'étranger),1
Département Côtes d'armor,1
ENSM - ECOLE NATIONALE SUPERIEURE MARITIME,1
Ehpad Du Haut Leon,1
MAIRIE DE LORIENT,1
Syndicat Mixte pour le Développement Numérique,1
GOUVERNEMENT POLYNESIE FRANCAISE,1
Setec organisation pour IDFM,1
SMAEP Sarthe et Loir,1
Syndicat d'Eau du Nord Ouest Mayennais,1
OP 22-001,1
"DREAL Pays de la Loire
SIAL / DMO",1
Etablissement Public de Santé : Groupe Hospitalier Rance Emeraude,1
Département des Côtes-d'Armor.,1
"Direction Régionale des Finances Publiques
de Normandie et du Département de la Seine-Maritime",1
Bayeux Intercom (Coordonnateur du groupement),1
ESID de Rennes - Ministère des armées et des anciens combattants,1
"Cerema
130018310",1
Salouël,1
CC PLEYBEN-CHÂTEAULIN-PORZAY,1
Communauté d'Etablissements Gériatriques de la Vallée de la Sarthe,1
Préservation du patrimoine,1
Mairie de Buc,1
Centre hospitalier mémorial de Saint-Lô pour le compte du GHT Centre Manche,1
Esid de Brest,1
Communauté de Communes de la Côte d'Albâtre.,1
Mairie de Saint-Denis,1
"Bureau de la Logistique
Bureau de la Logistique 27 Bd de Strasbourg CS 30528
61017 - Alençon",1
Syndicat Mixte de l'Aéroport de Laval et de La Mayenne,1
CONSEIL REGIONAL DE BRETAGNE,1
Tribunal judiciaire,1
CDC DU PAYS DE PONTCHATEAU ST GILDOIS DES BOIS,1
COMAVA - SIAEP Colmont Mayenne Varenne,1
Commune de Carnoux-en-Provence,1
Trinoval - chemin rural n°3 - 80640 Thieulloy l'abbaye,1
Collectivites,1
Société publique régionale des pays de la Loire (Solutions&co),1
Direction Mutualisée des Ressources Numériques,1
Groupement de commandes: Commune de Conches et Communauté de Communes du Pays de Conches,1
Communauté de communes Morvan sommets et Grands lacs,1
Séjours enfants/jeunes,1
"VILLE DE CLISSON 
44190 CLISSON",1
"SPL Poitou Aménagement,
Au nom et pour le compte de la Ville de Poitiers (86)",1
Direction de l'Administration Pénitentaire,1
"COMMUNE DE SAINT-AUBIN-SUR-MER
41 RUE DU MARECHAL JOFFRE
14750 SAINT-AUBIN-SUR-MER",1
Département du Finistère - DFP,1
MUNAE,1
CHD VENDEE pour le compte du CHLVO,1
"Pour les services des ministères chargés de l'éducation nationale, de l'enseignement supérieur et de la recherche et des sports, de la jeunesse et de la vie associative et les autres services situés sur ce site.",1
Grand port fluvio-maritime de l'axe Seine -direction territoriale du Havre,1
SIAEPA de Blangy-Bouttencourt,1
Mairie d'INDRE - Adresse : Avenue de la Loire - 44610 INDRE,1
Commune de Ham,1
Commune de Corzé (49),1
Directrice Générale des Services,1
"Ville de Duclair, 76480, Seine Maritime",1
Syndicat,1
Communauté de communes Inter Caux vexin,1
"Communauté de communes des Pays de L'AIGLE
Pôle administratif
5, Place du Parc
61300 L'AIGLE",1
Collectivité territoriale - commune,1
Aix-Marseille Université,1
"Communauté de Communes des Pays de L'Aigle
Pôle Administratif
5, Place du Parc
61300 L'AIGLE",1
Ouvrages d'art,1
CCAS de Quimperlé (29),1
ORG-0001- MINARM/SGA/DCSID/ESID de Brest (Ministère des Armées/Secrétariat Général pour l'Administration/Direction Centrale du Service d'Infrastructure de la Défense/Etablissement du Service d'Infrastructure de la Défense de Brest),1
Commune de LONG,1
SMAEPA de Saint-Laurent-en-Caux,1
"Ville de Gonfreville l'Orcher
C.C.A.S de Gonfreville l'Orcher",1
MAIRIE DE BOUAFLES,1
Residence autonomie Keric an Oll géré par le CCAS de la commune de Plougasnou (29630),1
