sample_id,benchmark_split,sampling_stratum,sampling_weight,anchor_episode_id,anchor_award_notice_date,anchor_expected_end_date,anchor_buyer_siren,anchor_buyer_name,anchor_theme,anchor_duration_months,final_outcome,final_successor_episode_ids,final_confidence,final_evidence_urls,final_reason,reference_version
RV-046,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,14.125,EP-e95abb916548b865,2016-06-02,,,Ville de Caen,CPV-48,,OBSERVED_SUCCESSOR,"[""EP-1e702d8ff86782c4""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-184881"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-78934"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-166173"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-71666""]",Same City of Caen parking function; the later procedure integrates operation of paid parking and the related control equipment.,internship_v1.0
RV-047,LOCKED_TEST,CPV-32|buyer_id_missing|duration_missing,2.0,EP-759cbb055f371a1d,2020-01-07,,,SDIS49,CPV-32,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-174440"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-1556"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-119580"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-5620"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-164747"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-149349""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-048,LOCKED_TEST,CPV-48|buyer_id|duration,13.25,EP-80507da5505db9fc,2023-01-05,2024-01-06,200069532.0,CA Lisieux Normandie,CPV-48,12.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:22-123288"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-825"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-81122"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-179639"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-127876"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-171479""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-049,LOCKED_TEST,CPV-32|buyer_id|duration,4.0,EP-5b262289428c5496,2020-01-29,2023-01-29,200084952.0,CU AGL HAVRAISE CANT CRIQUETOT ESNEVAL,CPV-32,36.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-150284"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-12885"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-30047"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-164800"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-13679"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-5614"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-52499""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-050,LOCKED_TEST,CPV-35|buyer_id_missing|duration_missing,1.0,EP-0c825a0b03ef1418,2015-08-14,,,SYND.DEPT D'ENERGIES DU CALVADOS,CPV-35,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-40888"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-126499"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-185061"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-20976"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-121625"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-4567"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-132003"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-167834""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-051,LOCKED_TEST,CPV-35|buyer_id_missing|duration,1.0,EP-843eb3fcdf81f13f,2019-11-08,2020-05-09,,MARINE/DCSSF/ DSSFBrest,CPV-35,6.0,OBSERVED_SUCCESSOR,"[""EP-732e3d9024c413de""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-60928"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-167377"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-44434"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-156116""]",Same Marine buyer and a new procedure with an almost identical need for miscellaneous telephony spare parts for naval units.,internship_v1.0
RV-052,LOCKED_TEST,CPV-35|buyer_id_missing|duration,1.0,EP-d00a6c5610042d4f,2018-10-14,2023-04-15,,CCAS DE LA ROCHE-SUR-YON,CPV-35,54.0,OBSERVED_SUCCESSOR,"[""EP-95519c6f991fe915""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-72168"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-100205"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-138657"", ""https://www.boamp.fr/pages/avis/?q=idweb:25-98483""]",The later CIAS procedure continues maintenance and evolution of nurse-call and anti-wandering systems for the same local elderly-care establishments.,internship_v1.0
RV-053,LOCKED_TEST,CPV-32|buyer_id_missing|duration,9.333333333333334,EP-cfb0cd5cf34df843,2016-11-24,2018-11-25,,SDIS 50,CPV-32,24.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-94545"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-168894"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-160357"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-167424"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-172168"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-31220"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-147776""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-054,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,14.125,EP-0febaa6df43acc09,2019-04-25,,,ESTM/EPA/ENSTA Bretagne,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-11189"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-65333"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-21806"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-88267"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-87299"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-152753"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-60756"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-116766""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-055,LOCKED_TEST,CPV-72|buyer_id|duration_missing,3.7142857142857135,EP-1c39afc93ace120d,2016-09-08,,228500013.0,Département de la Vendée,CPV-72,,OBSERVED_SUCCESSOR,"[""EP-dac655a2965d2b59""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-47620"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-130283"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-58079"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-119931""]",Same Vendée department and a later procedure with the same outsourced IT help-desk service.,internship_v1.0
RV-056,LOCKED_TEST,CPV-32|buyer_id_missing|duration_missing,2.0,EP-93531d5f25b40e17,2015-12-23,,,Métropole Rouen Normandie,CPV-32,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-113043"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-186872"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-145674"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-5547"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-87783""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-057,LOCKED_TEST,CPV-72|buyer_id_missing|duration_missing,21.142857142857142,EP-5a08d26762e28abc,2017-06-28,,,GIE PAR,CPV-72,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-67575"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-89709"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-119913"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-135302"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-162141""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-060,LOCKED_TEST,CPV-32|buyer_id|duration_missing,1.0,EP-63ab635d4f228cb8,2019-12-13,,775604853.0,GPM de Nantes - St Nazaire,CPV-32,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-39750"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-184859"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-6460"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-16545"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-121711""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-061,LOCKED_TEST,CPV-32|buyer_id_missing|duration,9.333333333333334,EP-c4d20227b28e895e,2015-12-09,2016-04-23,,Pôle emploi Bretagne,CPV-32,4.468,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-155110"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-184173"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-8068"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-61519"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-40670""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-062,LOCKED_TEST,CPV-32|buyer_id|duration,4.0,EP-356fd394bcdef31c,2021-10-13,2022-10-14,775700198.0,GPMH au Havre,CPV-32,12.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:21-17065"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-26978"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-135702""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-063,LOCKED_TEST,CPV-32|buyer_id|duration_missing,1.0,EP-54069462d4cd9132,2016-06-09,,775604853.0,GPM de Nantes - St Nazaire,CPV-32,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-12477"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-83167"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-39750"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-184859"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-48376"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-126461"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-91581""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-064,LOCKED_TEST,CPV-48|buyer_id|duration_missing,2.0,EP-c73058318e183f7d,2016-07-02,,228500013.0,Département de la Vendée,CPV-48,,OBSERVED_SUCCESSOR,"[""EP-687453812228f682""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-3538"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-97492"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-35779"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-101735""]",Same Vendée department and colleges and a later procedure with the same IT-fleet maintenance need.,internship_v1.0
RV-066,LOCKED_TEST,CPV-32|buyer_id|duration_missing,1.0,EP-337c7ebe08b52597,2016-12-21,,245000278.0,Communauté de Communes des Pieux,CPV-32,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-35563"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-181179"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-148110"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-120801"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-151179"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-155762""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-067,LOCKED_TEST,CPV-48|buyer_id|duration_missing,2.0,EP-5c9c7b561f9e1681,2020-11-06,,150000354.0,MINARM/DGA/DO/S2A,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-131265"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-163563"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-129515"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-142716""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-069,LOCKED_TEST,CPV-48|buyer_id_missing|duration,41.625,EP-0e00745ed4dd93dc,2018-09-06,2022-09-06,,Conseil régional des Pays de la Loire,CPV-48,48.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-31687"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-123481"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-25102"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-38550"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-115577"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-130956"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-74959"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-162091"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-1325"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-76668""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-071,LOCKED_TEST,CPV-72|buyer_id|duration,27.714285714285715,EP-f0eacc2ee1578eb2,2015-12-03,2018-12-18,218501096.0,Commune des Herbiers,CPV-72,36.501,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-116628"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-167746"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-85479"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-140305"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-40481"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-140371"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-33146"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-91605""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-072,LOCKED_TEST,CPV-32|buyer_id|duration_missing,1.0,EP-a7005a531d605208,2015-10-20,,194909701.0,Université d'Angers,CPV-32,,OBSERVED_SUCCESSOR,"[""EP-e92392289f7a7044""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-159897"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-46830"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-105924""]",Same university and Wi-Fi environment; the later procedure extends the same high-speed campus Wi-Fi solution.,internship_v1.0
RV-075,LOCKED_TEST,CPV-48|buyer_id|duration,13.25,EP-794984c7d2b71bb8,2023-03-04,2023-09-03,194909701.0,Université d'Angers,CPV-48,6.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:22-95969"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-98665"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-101639"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-135728"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-28542"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-84234"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-74221"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-159433"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-84235"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-136602""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-076,LOCKED_TEST,CPV-72|buyer_id_missing|duration_missing,21.142857142857142,EP-0385dc0ab1a8a6e9,2018-01-19,,,Conseil départemental de la Mayenne,CPV-72,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-6506"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-154990"", ""https://www.boamp.fr/pages/avis/?q=idweb:25-30335"", ""https://www.boamp.fr/pages/avis/?q=idweb:25-7959""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-077,LOCKED_TEST,CPV-72|buyer_id_missing|duration,67.57142857142857,EP-2fd8a4d119d7ae10,2020-07-10,2024-07-10,,COMMUNAUTE COMMUNES PAYS DE REDON,CPV-72,48.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-8016"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-87811"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-21869"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-21868"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-66626""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-079,LOCKED_TEST,CPV-48|buyer_id|duration,13.25,EP-fb0e50ff03087d93,2016-11-09,2018-11-10,194909701.0,Université d'Angers,CPV-48,24.0,OBSERVED_SUCCESSOR,"[""EP-0965582e2b179883""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-98698"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-161030"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-74252"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-167195""]",Same buyer and an essentially identical later procurement of network switches and associated supervision maintenance.,internship_v1.0
RV-080,LOCKED_TEST,CPV-48|buyer_id_missing|duration,41.625,EP-98573ee41e06a68b,2016-04-28,2020-04-28,,Département d'Ille et Vilaine,CPV-48,48.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-153563"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-59199"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-19659"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-25518"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-41537"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-65209"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-77227""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-081,LOCKED_TEST,CPV-48|buyer_id_missing|duration,41.625,EP-16dd05dfaff3519d,2018-03-21,2022-03-21,,Nantes Métropole,CPV-48,48.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-154293"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-158083"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-28160"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-167583"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-12630"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-74007"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-34888"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-53793"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-64473""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-082,LOCKED_TEST,CPV-72|buyer_id|duration,27.714285714285715,EP-c6246ef561b98168,2021-12-03,2023-12-04,234400034.0,Conseil régional des Pays de la Loire,CPV-72,24.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:21-26779"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-158676"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-174149"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-160148"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-12419"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-83911""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-083,LOCKED_TEST,CPV-72|buyer_id_missing|duration_missing,21.142857142857142,EP-c59f48fe0bca7d74,2017-01-02,,,Rennes Métropole,CPV-72,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-40931"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-113"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-29238"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-43556"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-102302"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-6621""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-084,LOCKED_TEST,CPV-32|buyer_id|duration,4.0,EP-042404646686b7a6,2016-06-10,2017-06-11,130020589.0,Centre Hospitalier des Drs Rosenberg,CPV-32,12.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-36699"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-84108"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-145443"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-72783"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-118558"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-174302"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-10982""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-085,LOCKED_TEST,CPV-72|buyer_id|duration,27.714285714285715,EP-7b77689973f0862e,2019-12-08,2023-12-08,180020026.0,CAISSE DES DEPOTS,CPV-72,48.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:19-174926"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-181532"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-26015"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-164130"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-14314"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-127792""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-086,LOCKED_TEST,CPV-48|buyer_id_missing|duration_missing,14.125,EP-df17711a48398e77,2015-06-29,,,Côtes d'Armor Habitat,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-76294"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-98502"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-3779"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-127894"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-183628"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-149194"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-193801""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-087,LOCKED_TEST,CPV-48|buyer_id|duration,13.25,EP-75db195acec62c86,2020-11-26,2024-11-26,228500013.0,Conseil général de la Vendée,CPV-48,48.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-61728"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-143848"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-67295"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-103145"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-16910"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-60266"", ""https://www.boamp.fr/pages/avis/?q=idweb:24-47715"", ""https://www.boamp.fr/pages/avis/?q=idweb:25-31338""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
